country;math_no_w;math_level1_w;math_level2_w;math_full_w;sci_no_w;sci_level1_w;sci_level2_w;sci_full_w
Australia;0.93;0.94;0.94;0.94;0.91;0.92;0.91;0.92
Bahrain;0.83;0.81;0.83;0.83;0.94;0.93;0.94;0.94
Chile;0.95;0.95;0.93;0.93;0.93;0.93;0.91;0.91
Chinese Taipei;0.86;0.84;0.87;0.87;0.81;0.78;0.82;0.82
Cyprus;0.86;0.85;0.86;0.86;0.85;0.82;0.85;0.85
Egypt;0.96;0.96;0.97;0.97;0.96;0.95;0.96;0.96
England;0.96;0.96;0.97;0.97;0.94;0.94;0.96;0.96
Finland;0.81;0.80;0.82;0.82;0.82;0.81;0.82;0.82
France;0.89;0.90;0.88;0.88;0.87;0.88;0.87;0.87
Georgia;0.89;0.88;0.94;0.94;0.84;0.83;0.91;0.91
Hong Kong;0.97;0.97;0.97;0.97;0.96;0.97;0.96;0.96
Hungary;0.94;0.93;0.95;0.95;0.92;0.91;0.95;0.95
Iran;0.94;0.93;0.96;0.96;0.94;0.92;0.96;0.96
Ireland;0.86;0.88;0.88;0.88;0.85;0.87;0.88;0.88
Israel;0.96;0.97;0.96;0.96;0.95;0.95;0.95;0.95
Italy;0.83;0.83;0.83;0.83;0.82;0.82;0.83;0.83
Japan;0.80;0.76;0.84;0.84;0.72;0.68;0.77;0.77
Jordan;0.92;0.91;0.95;0.95;0.92;0.91;0.95;0.95
Kazakhstan;0.93;0.94;0.95;0.95;0.91;0.92;0.93;0.93
Korea;0.73;0.72;0.76;0.76;0.64;0.66;0.63;0.63
Kuwait;0.94;0.93;0.95;0.95;0.94;0.93;0.95;0.95
Lebanon;0.93;0.94;0.94;0.94;0.95;0.95;0.96;0.96
Lithuania;0.86;0.84;0.86;0.86;0.87;0.85;0.85;0.85
Malaysia;0.97;0.98;0.96;0.96;0.96;0.97;0.95;0.96
Morocco;0.92;0.91;0.96;0.96;0.94;0.94;0.96;0.96
New Zealand;0.95;0.94;0.96;0.96;0.95;0.94;0.96;0.96
Norway;0.73;0.73;0.78;0.78;0.73;0.74;0.80;0.80
Oman;0.91;0.91;0.91;0.91;0.91;0.90;0.91;0.91
Portugal;0.87;0.87;0.89;0.89;0.84;0.84;0.87;0.87
Qatar;0.95;0.95;0.95;0.95;0.92;0.93;0.92;0.92
Romania;0.93;0.92;0.94;0.94;0.92;0.91;0.94;0.94
Russia;0.92;0.92;0.93;0.93;0.90;0.90;0.91;0.91
Saudi Arabia;0.93;0.93;0.91;0.91;0.92;0.91;0.92;0.92
Singapore;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96
South Africa;0.98;0.98;0.97;0.97;0.98;0.98;0.98;0.98
Sweden;0.84;0.84;0.88;0.88;0.84;0.83;0.89;0.89
Türkiye;0.92;0.89;0.94;0.94;0.91;0.88;0.94;0.94
UAE;0.97;0.98;0.97;0.97;0.98;0.98;0.98;0.98
United States;0.95;0.96;0.99;0.99;0.94;0.95;0.98;0.98
